Vivado Simulator 2020.2
Time resolution is 1 ps
[DRV] reset done
           104255000: [GEN_RANDOM] tx_byte = 0a, rx_byte = 00
         30310655000: [DRV] tx_byte = e5, rx_byte = 00
         31306695000: [MON] tx_byte = 00, rx_byte = cd
         31306695000: [SCB PASS] expected = cd, actual = cd, q_size = 0
         31306695000: [SCB QUEUE PUSH] expected_q push = e5, size = 1
         31352255000: [DRV] tx_byte = 33, rx_byte = 00
         32348295000: [MON] tx_byte = 00, rx_byte = e5
         32348295000: [SCB PASS] expected = e5, actual = e5, q_size = 0
         32348295000: [SCB QUEUE PUSH] expected_q push = 33, size = 1
         32393855000: [DRV] tx_byte = 39, rx_byte = 00
         33389895000: [MON] tx_byte = 00, rx_byte = 33
         33389895000: [SCB PASS] expected = 33, actual = 33, q_size = 0
         33389895000: [SCB QUEUE PUSH] expected_q push = 39, size = 1
         33435455000: [DRV] tx_byte = 93, rx_byte = 00
         34431495000: [MON] tx_byte = 00, rx_byte = 39
         34431495000: [SCB PASS] expected = 39, actual = 39, q_size = 0
         34431495000: [SCB QUEUE PUSH] expected_q push = 93, size = 1
         34477055000: [DRV] tx_byte = f2, rx_byte = 00
         35473095000: [MON] tx_byte = 00, rx_byte = 93
         35473095000: [SCB PASS] expected = 93, actual = 93, q_size = 0
         35473095000: [SCB QUEUE PUSH] expected_q push = f2, size = 1
         35518655000: [DRV] tx_byte = 4e, rx_byte = 00
         36514695000: [MON] tx_byte = 00, rx_byte = f2
         36514695000: [SCB PASS] expected = f2, actual = f2, q_size = 0
         36514695000: [SCB QUEUE PUSH] expected_q push = 4e, size = 1
         36560255000: [DRV] tx_byte = af, rx_byte = 00
         37556295000: [MON] tx_byte = 00, rx_byte = 4e
         37556295000: [SCB PASS] expected = 4e, actual = 4e, q_size = 0
         37556295000: [SCB QUEUE PUSH] expected_q push = af, size = 1
         37601855000: [DRV] tx_byte = 1f, rx_byte = 00
         38597895000: [MON] tx_byte = 00, rx_byte = af
         38597895000: [SCB PASS] expected = af, actual = af, q_size = 0
         38597895000: [SCB QUEUE PUSH] expected_q push = 1f, size = 1
         38643455000: [DRV] tx_byte = a7, rx_byte = 00
         39639495000: [MON] tx_byte = 00, rx_byte = 1f
         39639495000: [SCB PASS] expected = 1f, actual = 1f, q_size = 0
         39639495000: [SCB QUEUE PUSH] expected_q push = a7, size = 1
         39685055000: [DRV] tx_byte = 0b, rx_byte = 00
         40681095000: [MON] tx_byte = 00, rx_byte = a7
         40681095000: [SCB PASS] expected = a7, actual = a7, q_size = 0
         40681095000: [SCB QUEUE PUSH] expected_q push = 0b, size = 1
         40726655000: [DRV] tx_byte = eb, rx_byte = 00
         41722695000: [MON] tx_byte = 00, rx_byte = 0b
         41722695000: [SCB PASS] expected = 0b, actual = 0b, q_size = 0
         41722695000: [SCB QUEUE PUSH] expected_q push = eb, size = 1
         41768255000: [DRV] tx_byte = 0a, rx_byte = 00
         42764295000: [MON] tx_byte = 00, rx_byte = eb
         42764295000: [SCB PASS] expected = eb, actual = eb, q_size = 0
         42764295000: [SCB QUEUE PUSH] expected_q push = 0a, size = 1
         42809855000: [DRV] tx_byte = aa, rx_byte = 00
         43805895000: [MON] tx_byte = 00, rx_byte = 0a
         43805895000: [SCB PASS] expected = 0a, actual = 0a, q_size = 0
         43805895000: [SCB QUEUE PUSH] expected_q push = aa, size = 1
         43851455000: [DRV] tx_byte = f4, rx_byte = 00
         44847495000: [MON] tx_byte = 00, rx_byte = aa
         44847495000: [SCB PASS] expected = aa, actual = aa, q_size = 0
         44847495000: [SCB QUEUE PUSH] expected_q push = f4, size = 1
         44893055000: [DRV] tx_byte = 56, rx_byte = 00
         45889095000: [MON] tx_byte = 00, rx_byte = f4
         45889095000: [SCB PASS] expected = f4, actual = f4, q_size = 0
         45889095000: [SCB QUEUE PUSH] expected_q push = 56, size = 1
         45934655000: [DRV] tx_byte = b1, rx_byte = 00
         46930695000: [MON] tx_byte = 00, rx_byte = 56
         46930695000: [SCB PASS] expected = 56, actual = 56, q_size = 0
         46930695000: [SCB QUEUE PUSH] expected_q push = b1, size = 1
         46976255000: [DRV] tx_byte = 33, rx_byte = 00
         47972295000: [MON] tx_byte = 00, rx_byte = b1
         47972295000: [SCB PASS] expected = b1, actual = b1, q_size = 0
         47972295000: [SCB QUEUE PUSH] expected_q push = 33, size = 1
         48017855000: [DRV] tx_byte = a7, rx_byte = 00
         49013895000: [MON] tx_byte = 00, rx_byte = 33
         49013895000: [SCB PASS] expected = 33, actual = 33, q_size = 0
         49013895000: [SCB QUEUE PUSH] expected_q push = a7, size = 1
         49059455000: [DRV] tx_byte = e9, rx_byte = 00
         50055495000: [MON] tx_byte = 00, rx_byte = a7
         50055495000: [SCB PASS] expected = a7, actual = a7, q_size = 0
         50055495000: [SCB QUEUE PUSH] expected_q push = e9, size = 1
         50101055000: [DRV] tx_byte = ea, rx_byte = 00
         51097095000: [MON] tx_byte = 00, rx_byte = e9
         51097095000: [SCB PASS] expected = e9, actual = e9, q_size = 0
         51097095000: [SCB QUEUE PUSH] expected_q push = ea, size = 1
         51142655000: [DRV] tx_byte = dc, rx_byte = 00
         52138695000: [MON] tx_byte = 00, rx_byte = ea
         52138695000: [SCB PASS] expected = ea, actual = ea, q_size = 0
         52138695000: [SCB QUEUE PUSH] expected_q push = dc, size = 1
         52184255000: [DRV] tx_byte = 87, rx_byte = 00
         53180295000: [MON] tx_byte = 00, rx_byte = dc
         53180295000: [SCB PASS] expected = dc, actual = dc, q_size = 0
         53180295000: [SCB QUEUE PUSH] expected_q push = 87, size = 1
         53225855000: [DRV] tx_byte = 26, rx_byte = 00
         54221895000: [MON] tx_byte = 00, rx_byte = 87
         54221895000: [SCB PASS] expected = 87, actual = 87, q_size = 0
         54221895000: [SCB QUEUE PUSH] expected_q push = 26, size = 1
         54267455000: [DRV] tx_byte = 54, rx_byte = 00
         55263495000: [MON] tx_byte = 00, rx_byte = 26
         55263495000: [SCB PASS] expected = 26, actual = 26, q_size = 0
         55263495000: [SCB QUEUE PUSH] expected_q push = 54, size = 1
         55309055000: [DRV] tx_byte = 82, rx_byte = 00
         56305095000: [MON] tx_byte = 00, rx_byte = 54
         56305095000: [SCB PASS] expected = 54, actual = 54, q_size = 0
         56305095000: [SCB QUEUE PUSH] expected_q push = 82, size = 1
         56350655000: [DRV] tx_byte = 45, rx_byte = 00
         57346695000: [MON] tx_byte = 00, rx_byte = 82
         57346695000: [SCB PASS] expected = 82, actual = 82, q_size = 0
         57346695000: [SCB QUEUE PUSH] expected_q push = 45, size = 1
         57392255000: [DRV] tx_byte = c2, rx_byte = 00
         58388295000: [MON] tx_byte = 00, rx_byte = 45
         58388295000: [SCB PASS] expected = 45, actual = 45, q_size = 0
         58388295000: [SCB QUEUE PUSH] expected_q push = c2, size = 1
         58433855000: [DRV] tx_byte = bc, rx_byte = 00
         59429895000: [MON] tx_byte = 00, rx_byte = c2
         59429895000: [SCB PASS] expected = c2, actual = c2, q_size = 0
         59429895000: [SCB QUEUE PUSH] expected_q push = bc, size = 1
         59475455000: [DRV] tx_byte = 33, rx_byte = 00
         60471495000: [MON] tx_byte = 00, rx_byte = bc
         60471495000: [SCB PASS] expected = bc, actual = bc, q_size = 0
         60471495000: [SCB QUEUE PUSH] expected_q push = 33, size = 1
         60517055000: [DRV] tx_byte = 19, rx_byte = 00
         61513095000: [MON] tx_byte = 00, rx_byte = 33
         61513095000: [SCB PASS] expected = 33, actual = 33, q_size = 0
         61513095000: [SCB QUEUE PUSH] expected_q push = 19, size = 1
         61558655000: [DRV] tx_byte = 5c, rx_byte = 00
         62554695000: [MON] tx_byte = 00, rx_byte = 19
         62554695000: [SCB PASS] expected = 19, actual = 19, q_size = 0
         62554695000: [SCB QUEUE PUSH] expected_q push = 5c, size = 1
         62600255000: [DRV] tx_byte = 10, rx_byte = 00
         63596295000: [MON] tx_byte = 00, rx_byte = 5c
         63596295000: [SCB PASS] expected = 5c, actual = 5c, q_size = 0
         63596295000: [SCB QUEUE PUSH] expected_q push = 10, size = 1
         63641855000: [DRV] tx_byte = ae, rx_byte = 00
         64637895000: [MON] tx_byte = 00, rx_byte = 10
         64637895000: [SCB PASS] expected = 10, actual = 10, q_size = 0
         64637895000: [SCB QUEUE PUSH] expected_q push = ae, size = 1
         64683455000: [DRV] tx_byte = 73, rx_byte = 00
         65679495000: [MON] tx_byte = 00, rx_byte = ae
         65679495000: [SCB PASS] expected = ae, actual = ae, q_size = 0
         65679495000: [SCB QUEUE PUSH] expected_q push = 73, size = 1
         65725055000: [DRV] tx_byte = f9, rx_byte = 00
         66721095000: [MON] tx_byte = 00, rx_byte = 73
         66721095000: [SCB PASS] expected = 73, actual = 73, q_size = 0
         66721095000: [SCB QUEUE PUSH] expected_q push = f9, size = 1
         66766655000: [DRV] tx_byte = 2a, rx_byte = 00
         67762695000: [MON] tx_byte = 00, rx_byte = f9
         67762695000: [SCB PASS] expected = f9, actual = f9, q_size = 0
         67762695000: [SCB QUEUE PUSH] expected_q push = 2a, size = 1
         67808255000: [DRV] tx_byte = 9a, rx_byte = 00
         68804295000: [MON] tx_byte = 00, rx_byte = 2a
         68804295000: [SCB PASS] expected = 2a, actual = 2a, q_size = 0
         68804295000: [SCB QUEUE PUSH] expected_q push = 9a, size = 1
         68849855000: [DRV] tx_byte = c7, rx_byte = 00
         69845895000: [MON] tx_byte = 00, rx_byte = 9a
         69845895000: [SCB PASS] expected = 9a, actual = 9a, q_size = 0
         69845895000: [SCB QUEUE PUSH] expected_q push = c7, size = 1
         69891455000: [DRV] tx_byte = 4e, rx_byte = 00
         70887495000: [MON] tx_byte = 00, rx_byte = c7
         70887495000: [SCB PASS] expected = c7, actual = c7, q_size = 0
         70887495000: [SCB QUEUE PUSH] expected_q push = 4e, size = 1
         70933055000: [DRV] tx_byte = 96, rx_byte = 00
         71929095000: [MON] tx_byte = 00, rx_byte = 4e
         71929095000: [SCB PASS] expected = 4e, actual = 4e, q_size = 0
         71929095000: [SCB QUEUE PUSH] expected_q push = 96, size = 1
         71974655000: [DRV] tx_byte = 38, rx_byte = 00
         72970695000: [MON] tx_byte = 00, rx_byte = 96
         72970695000: [SCB PASS] expected = 96, actual = 96, q_size = 0
         72970695000: [SCB QUEUE PUSH] expected_q push = 38, size = 1
         73016255000: [DRV] tx_byte = ab, rx_byte = 00
         74012295000: [MON] tx_byte = 00, rx_byte = 38
         74012295000: [SCB PASS] expected = 38, actual = 38, q_size = 0
         74012295000: [SCB QUEUE PUSH] expected_q push = ab, size = 1
         74057855000: [DRV] tx_byte = 32, rx_byte = 00
         75053895000: [MON] tx_byte = 00, rx_byte = ab
         75053895000: [SCB PASS] expected = ab, actual = ab, q_size = 0
         75053895000: [SCB QUEUE PUSH] expected_q push = 32, size = 1
         75099455000: [DRV] tx_byte = 15, rx_byte = 00
         76095495000: [MON] tx_byte = 00, rx_byte = 32
         76095495000: [SCB PASS] expected = 32, actual = 32, q_size = 0
         76095495000: [SCB QUEUE PUSH] expected_q push = 15, size = 1
         76141055000: [DRV] tx_byte = 9d, rx_byte = 00
         77137095000: [MON] tx_byte = 00, rx_byte = 15
         77137095000: [SCB PASS] expected = 15, actual = 15, q_size = 0
         77137095000: [SCB QUEUE PUSH] expected_q push = 9d, size = 1
         77182655000: [DRV] tx_byte = fd, rx_byte = 00
         78178695000: [MON] tx_byte = 00, rx_byte = 9d
         78178695000: [SCB PASS] expected = 9d, actual = 9d, q_size = 0
         78178695000: [SCB QUEUE PUSH] expected_q push = fd, size = 1
         78224255000: [DRV] tx_byte = 3a, rx_byte = 00
         79220295000: [MON] tx_byte = 00, rx_byte = fd
         79220295000: [SCB PASS] expected = fd, actual = fd, q_size = 0
         79220295000: [SCB QUEUE PUSH] expected_q push = 3a, size = 1
         79265855000: [DRV] tx_byte = 34, rx_byte = 00
         80261895000: [MON] tx_byte = 00, rx_byte = 3a
         80261895000: [SCB PASS] expected = 3a, actual = 3a, q_size = 0
         80261895000: [SCB QUEUE PUSH] expected_q push = 34, size = 1
         80307455000: [DRV] tx_byte = e2, rx_byte = 00
         81303495000: [MON] tx_byte = 00, rx_byte = 34
         81303495000: [SCB PASS] expected = 34, actual = 34, q_size = 0
         81303495000: [SCB QUEUE PUSH] expected_q push = e2, size = 1
         81349055000: [DRV] tx_byte = 86, rx_byte = 00
         82345095000: [MON] tx_byte = 00, rx_byte = e2
         82345095000: [SCB PASS] expected = e2, actual = e2, q_size = 0
         82345095000: [SCB QUEUE PUSH] expected_q push = 86, size = 1
         82390655000: [DRV] tx_byte = 9e, rx_byte = 00
         83386695000: [MON] tx_byte = 00, rx_byte = 86
         83386695000: [SCB PASS] expected = 86, actual = 86, q_size = 0
         83386695000: [SCB QUEUE PUSH] expected_q push = 9e, size = 1
         83432255000: [DRV] tx_byte = d2, rx_byte = 00
         84428295000: [MON] tx_byte = 00, rx_byte = 9e
         84428295000: [SCB PASS] expected = 9e, actual = 9e, q_size = 0
         84428295000: [SCB QUEUE PUSH] expected_q push = d2, size = 1
         84473855000: [DRV] tx_byte = c4, rx_byte = 00
         85469895000: [MON] tx_byte = 00, rx_byte = d2
         85469895000: [SCB PASS] expected = d2, actual = d2, q_size = 0
         85469895000: [SCB QUEUE PUSH] expected_q push = c4, size = 1
         85515455000: [DRV] tx_byte = 3b, rx_byte = 00
         86511495000: [MON] tx_byte = 00, rx_byte = c4
         86511495000: [SCB PASS] expected = c4, actual = c4, q_size = 0
         86511495000: [SCB QUEUE PUSH] expected_q push = 3b, size = 1
         86557055000: [DRV] tx_byte = 3e, rx_byte = 00
         87553095000: [MON] tx_byte = 00, rx_byte = 3b
         87553095000: [SCB PASS] expected = 3b, actual = 3b, q_size = 0
         87553095000: [SCB QUEUE PUSH] expected_q push = 3e, size = 1
         87598655000: [DRV] tx_byte = f2, rx_byte = 00
         88594695000: [MON] tx_byte = 00, rx_byte = 3e
         88594695000: [SCB PASS] expected = 3e, actual = 3e, q_size = 0
         88594695000: [SCB QUEUE PUSH] expected_q push = f2, size = 1
         88640255000: [DRV] tx_byte = c9, rx_byte = 00
         89636295000: [MON] tx_byte = 00, rx_byte = f2
         89636295000: [SCB PASS] expected = f2, actual = f2, q_size = 0
         89636295000: [SCB QUEUE PUSH] expected_q push = c9, size = 1
         89681855000: [DRV] tx_byte = 3e, rx_byte = 00
         90677895000: [MON] tx_byte = 00, rx_byte = c9
         90677895000: [SCB PASS] expected = c9, actual = c9, q_size = 0
         90677895000: [SCB QUEUE PUSH] expected_q push = 3e, size = 1
         90723455000: [DRV] tx_byte = 43, rx_byte = 00
         91719495000: [MON] tx_byte = 00, rx_byte = 3e
         91719495000: [SCB PASS] expected = 3e, actual = 3e, q_size = 0
         91719495000: [SCB QUEUE PUSH] expected_q push = 43, size = 1
         91765055000: [DRV] tx_byte = 05, rx_byte = 00
         92761095000: [MON] tx_byte = 00, rx_byte = 43
         92761095000: [SCB PASS] expected = 43, actual = 43, q_size = 0
         92761095000: [SCB QUEUE PUSH] expected_q push = 05, size = 1
         92806655000: [DRV] tx_byte = c6, rx_byte = 00
         93802695000: [MON] tx_byte = 00, rx_byte = 05
         93802695000: [SCB PASS] expected = 05, actual = 05, q_size = 0
         93802695000: [SCB QUEUE PUSH] expected_q push = c6, size = 1
         93848255000: [DRV] tx_byte = d2, rx_byte = 00
         94844295000: [MON] tx_byte = 00, rx_byte = c6
         94844295000: [SCB PASS] expected = c6, actual = c6, q_size = 0
         94844295000: [SCB QUEUE PUSH] expected_q push = d2, size = 1
         94889855000: [DRV] tx_byte = 20, rx_byte = 00
         95885895000: [MON] tx_byte = 00, rx_byte = d2
         95885895000: [SCB PASS] expected = d2, actual = d2, q_size = 0
         95885895000: [SCB QUEUE PUSH] expected_q push = 20, size = 1
         95931455000: [DRV] tx_byte = 07, rx_byte = 00
         96927495000: [MON] tx_byte = 00, rx_byte = 20
         96927495000: [SCB PASS] expected = 20, actual = 20, q_size = 0
         96927495000: [SCB QUEUE PUSH] expected_q push = 07, size = 1
         96973055000: [DRV] tx_byte = 22, rx_byte = 00
         97969095000: [MON] tx_byte = 00, rx_byte = 07
         97969095000: [SCB PASS] expected = 07, actual = 07, q_size = 0
         97969095000: [SCB QUEUE PUSH] expected_q push = 22, size = 1
         98014655000: [DRV] tx_byte = 8f, rx_byte = 00
         99010695000: [MON] tx_byte = 00, rx_byte = 22
         99010695000: [SCB PASS] expected = 22, actual = 22, q_size = 0
         99010695000: [SCB QUEUE PUSH] expected_q push = 8f, size = 1
         99056255000: [DRV] tx_byte = 42, rx_byte = 00
        100052295000: [MON] tx_byte = 00, rx_byte = 8f
        100052295000: [SCB PASS] expected = 8f, actual = 8f, q_size = 0
        100052295000: [SCB QUEUE PUSH] expected_q push = 42, size = 1
        100097855000: [DRV] tx_byte = 62, rx_byte = 00
        101093895000: [MON] tx_byte = 00, rx_byte = 42
        101093895000: [SCB PASS] expected = 42, actual = 42, q_size = 0
        101093895000: [SCB QUEUE PUSH] expected_q push = 62, size = 1
        101139455000: [DRV] tx_byte = 6f, rx_byte = 00
        102135495000: [MON] tx_byte = 00, rx_byte = 62
        102135495000: [SCB PASS] expected = 62, actual = 62, q_size = 0
        102135495000: [SCB QUEUE PUSH] expected_q push = 6f, size = 1
        102181055000: [DRV] tx_byte = ae, rx_byte = 00
        103177095000: [MON] tx_byte = 00, rx_byte = 6f
        103177095000: [SCB PASS] expected = 6f, actual = 6f, q_size = 0
        103177095000: [SCB QUEUE PUSH] expected_q push = ae, size = 1
        103222655000: [DRV] tx_byte = 8e, rx_byte = 00
        104218695000: [MON] tx_byte = 00, rx_byte = ae
        104218695000: [SCB PASS] expected = ae, actual = ae, q_size = 0
        104218695000: [SCB QUEUE PUSH] expected_q push = 8e, size = 1
        104264255000: [DRV] tx_byte = 14, rx_byte = 00
        105260295000: [MON] tx_byte = 00, rx_byte = 8e
        105260295000: [SCB PASS] expected = 8e, actual = 8e, q_size = 0
        105260295000: [SCB QUEUE PUSH] expected_q push = 14, size = 1
        105305855000: [DRV] tx_byte = 75, rx_byte = 00
        106301895000: [MON] tx_byte = 00, rx_byte = 14
        106301895000: [SCB PASS] expected = 14, actual = 14, q_size = 0
        106301895000: [SCB QUEUE PUSH] expected_q push = 75, size = 1
        106347455000: [DRV] tx_byte = 0e, rx_byte = 00
        107343495000: [MON] tx_byte = 00, rx_byte = 75
        107343495000: [SCB PASS] expected = 75, actual = 75, q_size = 0
        107343495000: [SCB QUEUE PUSH] expected_q push = 0e, size = 1
        107389055000: [DRV] tx_byte = e1, rx_byte = 00
        108385095000: [MON] tx_byte = 00, rx_byte = 0e
        108385095000: [SCB PASS] expected = 0e, actual = 0e, q_size = 0
        108385095000: [SCB QUEUE PUSH] expected_q push = e1, size = 1
        108430655000: [DRV] tx_byte = 59, rx_byte = 00
        109426695000: [MON] tx_byte = 00, rx_byte = e1
        109426695000: [SCB PASS] expected = e1, actual = e1, q_size = 0
        109426695000: [SCB QUEUE PUSH] expected_q push = 59, size = 1
        109472255000: [DRV] tx_byte = 17, rx_byte = 00
        110468295000: [MON] tx_byte = 00, rx_byte = 59
        110468295000: [SCB PASS] expected = 59, actual = 59, q_size = 0
        110468295000: [SCB QUEUE PUSH] expected_q push = 17, size = 1
        110513855000: [DRV] tx_byte = ba, rx_byte = 00
        111509895000: [MON] tx_byte = 00, rx_byte = 17
        111509895000: [SCB PASS] expected = 17, actual = 17, q_size = 0
        111509895000: [SCB QUEUE PUSH] expected_q push = ba, size = 1
        111555455000: [DRV] tx_byte = e1, rx_byte = 00
        112551495000: [MON] tx_byte = 00, rx_byte = ba
        112551495000: [SCB PASS] expected = ba, actual = ba, q_size = 0
        112551495000: [SCB QUEUE PUSH] expected_q push = e1, size = 1
        112597055000: [DRV] tx_byte = 1a, rx_byte = 00
        113593095000: [MON] tx_byte = 00, rx_byte = e1
        113593095000: [SCB PASS] expected = e1, actual = e1, q_size = 0
        113593095000: [SCB QUEUE PUSH] expected_q push = 1a, size = 1
        113638655000: [DRV] tx_byte = 04, rx_byte = 00
        114634695000: [MON] tx_byte = 00, rx_byte = 1a
        114634695000: [SCB PASS] expected = 1a, actual = 1a, q_size = 0
        114634695000: [SCB QUEUE PUSH] expected_q push = 04, size = 1
        114680255000: [DRV] tx_byte = d4, rx_byte = 00
        115676295000: [MON] tx_byte = 00, rx_byte = 04
        115676295000: [SCB PASS] expected = 04, actual = 04, q_size = 0
        115676295000: [SCB QUEUE PUSH] expected_q push = d4, size = 1
        115721855000: [DRV] tx_byte = bd, rx_byte = 00
        116717895000: [MON] tx_byte = 00, rx_byte = d4
        116717895000: [SCB PASS] expected = d4, actual = d4, q_size = 0
        116717895000: [SCB QUEUE PUSH] expected_q push = bd, size = 1
        116763455000: [DRV] tx_byte = 6f, rx_byte = 00
        117759495000: [MON] tx_byte = 00, rx_byte = bd
        117759495000: [SCB PASS] expected = bd, actual = bd, q_size = 0
        117759495000: [SCB QUEUE PUSH] expected_q push = 6f, size = 1
        117805055000: [DRV] tx_byte = ca, rx_byte = 00
        118801095000: [MON] tx_byte = 00, rx_byte = 6f
        118801095000: [SCB PASS] expected = 6f, actual = 6f, q_size = 0
        118801095000: [SCB QUEUE PUSH] expected_q push = ca, size = 1
        118846655000: [DRV] tx_byte = fe, rx_byte = 00
        119842695000: [MON] tx_byte = 00, rx_byte = ca
        119842695000: [SCB PASS] expected = ca, actual = ca, q_size = 0
        119842695000: [SCB QUEUE PUSH] expected_q push = fe, size = 1
        119888255000: [DRV] tx_byte = 9e, rx_byte = 00
        120884295000: [MON] tx_byte = 00, rx_byte = fe
        120884295000: [SCB PASS] expected = fe, actual = fe, q_size = 0
        120884295000: [SCB QUEUE PUSH] expected_q push = 9e, size = 1
        120929855000: [DRV] tx_byte = 3b, rx_byte = 00
        121925895000: [MON] tx_byte = 00, rx_byte = 9e
        121925895000: [SCB PASS] expected = 9e, actual = 9e, q_size = 0
        121925895000: [SCB QUEUE PUSH] expected_q push = 3b, size = 1
        121971455000: [DRV] tx_byte = 0e, rx_byte = 00
        122967495000: [MON] tx_byte = 00, rx_byte = 3b
        122967495000: [SCB PASS] expected = 3b, actual = 3b, q_size = 0
        122967495000: [SCB QUEUE PUSH] expected_q push = 0e, size = 1
        123013055000: [DRV] tx_byte = c1, rx_byte = 00
        124009095000: [MON] tx_byte = 00, rx_byte = 0e
        124009095000: [SCB PASS] expected = 0e, actual = 0e, q_size = 0
        124009095000: [SCB QUEUE PUSH] expected_q push = c1, size = 1
        124054655000: [DRV] tx_byte = e2, rx_byte = 00
        125050695000: [MON] tx_byte = 00, rx_byte = c1
        125050695000: [SCB PASS] expected = c1, actual = c1, q_size = 0
        125050695000: [SCB QUEUE PUSH] expected_q push = e2, size = 1
        125096255000: [DRV] tx_byte = 0f, rx_byte = 00
        126092295000: [MON] tx_byte = 00, rx_byte = e2
        126092295000: [SCB PASS] expected = e2, actual = e2, q_size = 0
        126092295000: [SCB QUEUE PUSH] expected_q push = 0f, size = 1
        126137855000: [DRV] tx_byte = d1, rx_byte = 00
        127133895000: [MON] tx_byte = 00, rx_byte = 0f
        127133895000: [SCB PASS] expected = 0f, actual = 0f, q_size = 0
        127133895000: [SCB QUEUE PUSH] expected_q push = d1, size = 1
        127179455000: [DRV] tx_byte = 0b, rx_byte = 00
        128175495000: [MON] tx_byte = 00, rx_byte = d1
        128175495000: [SCB PASS] expected = d1, actual = d1, q_size = 0
        128175495000: [SCB QUEUE PUSH] expected_q push = 0b, size = 1
        128221055000: [DRV] tx_byte = 89, rx_byte = 00
        129217095000: [MON] tx_byte = 00, rx_byte = 0b
        129217095000: [SCB PASS] expected = 0b, actual = 0b, q_size = 0
        129217095000: [SCB QUEUE PUSH] expected_q push = 89, size = 1
        129262655000: [DRV] tx_byte = 16, rx_byte = 00
        130258695000: [MON] tx_byte = 00, rx_byte = 89
        130258695000: [SCB PASS] expected = 89, actual = 89, q_size = 0
        130258695000: [SCB QUEUE PUSH] expected_q push = 16, size = 1
        130304255000: [DRV] tx_byte = bc, rx_byte = 00
        131300295000: [MON] tx_byte = 00, rx_byte = 16
        131300295000: [SCB PASS] expected = 16, actual = 16, q_size = 0
        131300295000: [SCB QUEUE PUSH] expected_q push = bc, size = 1
        131345855000: [DRV] tx_byte = b7, rx_byte = 00
        132341895000: [MON] tx_byte = 00, rx_byte = bc
        132341895000: [SCB PASS] expected = bc, actual = bc, q_size = 0
        132341895000: [SCB QUEUE PUSH] expected_q push = b7, size = 1
        132387455000: [DRV] tx_byte = 8b, rx_byte = 00
        133383495000: [MON] tx_byte = 00, rx_byte = b7
        133383495000: [SCB PASS] expected = b7, actual = b7, q_size = 0
        133383495000: [SCB QUEUE PUSH] expected_q push = 8b, size = 1
        133429055000: [DRV] tx_byte = c4, rx_byte = 00
        134425095000: [MON] tx_byte = 00, rx_byte = 8b
        134425095000: [SCB PASS] expected = 8b, actual = 8b, q_size = 0
        134425095000: [SCB QUEUE PUSH] expected_q push = c4, size = 1
        134470655000: [DRV] tx_byte = cf, rx_byte = 00
        135466695000: [MON] tx_byte = 00, rx_byte = c4
        135466695000: [SCB PASS] expected = c4, actual = c4, q_size = 0
        135466695000: [SCB QUEUE PUSH] expected_q push = cf, size = 1
        135512255000: [DRV] tx_byte = 7f, rx_byte = 00
        136508295000: [MON] tx_byte = 00, rx_byte = cf
        136508295000: [SCB PASS] expected = cf, actual = cf, q_size = 0
        136508295000: [SCB QUEUE PUSH] expected_q push = 7f, size = 1
        136553855000: [DRV] tx_byte = 6d, rx_byte = 00
        137549895000: [MON] tx_byte = 00, rx_byte = 7f
        137549895000: [SCB PASS] expected = 7f, actual = 7f, q_size = 0
        137549895000: [SCB QUEUE PUSH] expected_q push = 6d, size = 1
        137595455000: [DRV] tx_byte = c2, rx_byte = 00
        138591495000: [MON] tx_byte = 00, rx_byte = 6d
        138591495000: [SCB PASS] expected = 6d, actual = 6d, q_size = 0
        138591495000: [SCB QUEUE PUSH] expected_q push = c2, size = 1
        138637055000: [DRV] tx_byte = a6, rx_byte = 00
        139633095000: [MON] tx_byte = 00, rx_byte = c2
        139633095000: [SCB PASS] expected = c2, actual = c2, q_size = 0
        139633095000: [SCB QUEUE PUSH] expected_q push = a6, size = 1
        139678655000: [DRV] tx_byte = 3b, rx_byte = 00
        140674695000: [MON] tx_byte = 00, rx_byte = a6
        140674695000: [SCB PASS] expected = a6, actual = a6, q_size = 0
        140674695000: [SCB QUEUE PUSH] expected_q push = 3b, size = 1
        140720255000: [DRV] tx_byte = 0c, rx_byte = 00
        141716295000: [MON] tx_byte = 00, rx_byte = 3b
        141716295000: [SCB PASS] expected = 3b, actual = 3b, q_size = 0
        141716295000: [SCB QUEUE PUSH] expected_q push = 0c, size = 1
        141761855000: [DRV] tx_byte = d5, rx_byte = 00
        142757895000: [MON] tx_byte = 00, rx_byte = 0c
        142757895000: [SCB PASS] expected = 0c, actual = 0c, q_size = 0
        142757895000: [SCB QUEUE PUSH] expected_q push = d5, size = 1
        142803455000: [DRV] tx_byte = 24, rx_byte = 00
        143799495000: [MON] tx_byte = 00, rx_byte = d5
        143799495000: [SCB PASS] expected = d5, actual = d5, q_size = 0
        143799495000: [SCB QUEUE PUSH] expected_q push = 24, size = 1
        143845055000: [DRV] tx_byte = ae, rx_byte = 00
        144841095000: [MON] tx_byte = 00, rx_byte = 24
        144841095000: [SCB PASS] expected = 24, actual = 24, q_size = 0
        144841095000: [SCB QUEUE PUSH] expected_q push = ae, size = 1
        144886655000: [DRV] tx_byte = 06, rx_byte = 00
        145882695000: [MON] tx_byte = 00, rx_byte = ae
        145882695000: [SCB PASS] expected = ae, actual = ae, q_size = 0
        145882695000: [SCB QUEUE PUSH] expected_q push = 06, size = 1
